t_name,gene_name,male_10,male_11,male_12,male_13,male_14A,male_14B,male_14C,male_14D,female_10,female_11,female_12,female_13,female_14A,female_14B,female_14C,female_14D
FBtr0084230,Nop56,186.662979,132.13028,199.541428,178.691727,253.295746,261.259857,322.32254,267.355438,164.845749,168.783676,175.169785,215.352539,265.023804,250.434784,293.924438,292.007446
FBtr0084229,mats,33.675129,27.851032,37.008377,33.10482,32.071804,16.436506,4.005244,4.773922,30.491262,32.868343,34.712933,35.905132,31.953115,24.177366,7.213252,3.901544
FBtr0337044,mats,24.726494,20.450058,27.173979,24.307734,23.549225,12.068763,2.940913,3.505327,22.388685,24.134102,25.48852,26.363909,23.46208,17.752609,5.296444,2.864769
FBtr0345205,mats,38.714108,32.018524,42.546127,40.165501,36.870876,18.895985,4.604568,5.488268,35.053822,37.786598,39.907207,41.277798,36.734413,27.795145,8.292608,4.48535
FBtr0084297,pinta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0346142,pinta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0301711,CG13847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0337045,CG13847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084295,CG12499,56.242065,24.134302,42.032349,35.155663,8.579758,0,0,11.830303,45.643429,27.682751,54.003502,0,10.939449,3.935526,9.201588,12.096359
FBtr0300623,CG34288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0112608,CG34376,0,0,0,0,0,0,0,0,0,0,1.331513,0,0,0,0,0
FBtr0112609,CG34376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084294,Rpn7,122.801682,112.642914,69.363495,38.043762,17.347828,28.382792,57.628117,65.030151,127.899124,144.977615,61.302967,48.712708,12.918664,32.206257,53.778027,55.24437
FBtr0084252,AP-2mu,2.368087,0,0,0,0,0,4.818751,0,3.129595,0,1.907313,0,0,0,0,0
FBtr0084253,AP-2mu,22.024607,18.243601,6.672983,0,0,0,16.844501,22.526262,23.87887,18.966692,7.379126,0,0,0,18.465635,20.523659
FBtr0301866,AP-2mu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084254,CG7054,23.631281,19.835882,27.045504,33.547092,39.440952,34.932842,44.628948,36.120392,20.523975,30.865774,29.562019,37.336651,31.147993,35.563652,34.751675,39.68277
FBtr0084255,Pebp1,0,0,0,0,0,0,1.247461,1.22235,0,0,0,0,0,0,1.351099,0.531805
