t_name,male_10,male_11,male_12,male_13,male_14,female_10,female_11,female_12,female_13,female_14
FBtr0306641,0.414565,0,0,0.366423,0.343074,0.359344,0,0,0.560715,0
FBtr0273345,0,0,0,0,0,0,0,0,0,0
FBtr0273346,0.414176,0,0,0.388089,0.35784,0.502441,0,0,0.628052,0
FBtr0306640,17.876554,14.971549,48.224609,18.748182,16.153996,16.905724,16.475365,18.50272,19.840916,14.64942
FBtr0082288,13.983838,11.71141,2.720386,14.665666,12.636374,13.224409,12.887764,14.473651,15.520447,11.459427
FBtr0330150,13.983833,11.711412,2.720386,14.665663,12.636374,13.224409,12.887764,14.473651,15.520449,11.459428
FBtr0082290,135.323166,212.262192,115.327377,74.489853,81.131981,175.36171,188.870514,102.605736,101.079399,68.937233
FBtr0082289,0,0,0,0,0.278197,0,0,0,0,0.073637
FBtr0082324,0,0,0,0,0,0,0,3.780676,0,0
FBtr0345150,0,0,0,0,0,0,0,0,0,0
FBtr0082335,0,0,0,0,0,0,0,0,0,0
FBtr0082333,0,2.266827,0.746832,0,0.466816,4.194059,4.304969,0,0,0
FBtr0082334,7.724944,9.246502,0,0,0,13.50715,6.408787,0,0,0
FBtr0082332,0,0,0,0,0,0,0,0,0,0
FBtr0082325,11.16615,13.8159,9.461821,6.165529,0,7.472716,7.909848,7.982586,0,0
FBtr0339379,1.857773,0,0.164229,0,0,1.016735,0.944658,0,0,0
FBtr0339378,0,0,0,0,0,0,0,0,0,0
FBtr0082330,0,0,0,0,0,0,0,0,0,0
FBtr0082331,1.734969,0,0.153372,0,0,0.949525,0.882213,0,0,0
FBtr0082329,0,0,0,0.263605,0,0,0,1.004582,0,0
FBtr0302935,29.707798,0,17.604246,38.040577,44.91885,27.611761,36.79604,34.594849,42.419144,46.427692
FBtr0346257,0,0,0,0,0,0,0,0,0,0
FBtr0346256,0,0,0,0,0,0,0,0,0,0
FBtr0082326,0,0,0,0,0,0,0,0,0,0
FBtr0346217,0,0,0,0,0,0,0,0,0,0
FBtr0301070,0,0,0,0,0,0,0,0,0,0
FBtr0110808,0,0,0,0,0,0,0,0,0,0
FBtr0347161,0,0,0,0,0,0,0,0,0,0
FBtr0343911,0,0,0,0,0,0,0,0,0,0
FBtr0309182,0,0,0,0,0,0,0,0,0,0
FBtr0309183,0,0,0,0,0,0,0,0,0,0
FBtr0346255,0,0,0,0,0,0,0,0,0,0
FBtr0082380,0,0,0,0,0,0,0,0,0,0
FBtr0113321,0,0,0,0,0,0,0,0,0,0
FBtr0082336,0,0,0,0,0,0,0,0,0,0
FBtr0091686,0,0,0,0,0,0,0,0,0,0
FBtr0346101,0,0,0,0,0,0,0,0,0,0
FBtr0082378,0,0,0,0,0,0,0,0,0,0
FBtr0082337,0,0,0,0,0,0,0,0,0,0
FBtr0082338,49.401321,0,32.203114,19.106476,4.097886,35.694801,30.806011,35.110973,16.998718,0
FBtr0082339,0,0,0,0,0,0,0,0,0,0
FBtr0335216,0,0,0,0,0,0,0,0,0,0
FBtr0308027,0,0,0,0,0,0,0,0,0,0
FBtr0082376,0,0,0,0,0,0,0,0,0,0
FBtr0082375,0,0,0,0,0,0,0,0,0,0
FBtr0082374,0,2.98733,15.095205,15.07064,2.299248,8.186049,6.276544,17.064816,19.295633,3.816081
FBtr0082373,0,0,0,0,0,0,0,0,0,0
FBtr0082340,0,0,0,0,0,0,0,0,0,0
FBtr0335217,0,0,0,0,0,0,0,0,0,0
FBtr0082341,0,0,0,0,0,0,0,0,0,0
FBtr0335218,0,0,0,0,0,15.78315,0,0,0,0
FBtr0113220,0,0,0,0,0,0,0,0,0,0
FBtr0335219,0,0,0,0,0,0,0,0,0,0
FBtr0335220,0,0,0,0,0,0,0,0,0,0
FBtr0113219,0,0,0,0,0,0,0,0,0,0
FBtr0113218,0,0,0,0,0,0,0,0,0,0
FBtr0335221,13.223496,15.053306,14.868017,9.347888,11.872748,15.523022,16.169596,10.954398,17.163935,12.648937
FBtr0082372,18.262939,20.790083,20.534184,12.910346,16.397425,21.438807,22.331787,15.129093,23.705069,17.469416
FBtr0082344,693.504333,1744.021362,1827.834595,889.989624,1110.650635,681.122742,780.625549,745.473572,1020.208496,1119.147583
FBtr0347181,434.909515,28.493208,104.403328,558.12915,696.509766,427.144745,489.5448,467.500366,639.791687,701.838257
FBtr0082371,42.621288,58.087395,41.845997,33.082932,21.554291,52.513538,56.5033,59.351013,35.179428,11.178052
FBtr0082369,0,0,5.155761,0,10.887591,11.463651,0,0,34.906311,0
FBtr0082370,1996.416016,2419.868164,2795.303223,2439.434326,3463.927734,2249.666992,3124.560303,2174.075439,3667.256104,3616.300293
FBtr0113221,7.590616,0,10.023796,0,6.855803,10.128061,0,0,15.614729,0
FBtr0082368,0,16.886242,28.516298,26.405073,30.835022,0,19.869089,24.614597,30.459562,27.418604
FBtr0336784,40.976746,60.96767,47.098015,46.219353,76.430344,41.949787,120.743309,40.826363,59.905159,72.584457
FBtr0082367,37.333042,55.546352,42.91,42.109463,69.634064,38.219559,3.641275,37.19603,54.578316,66.254112
FBtr0082347,1.098997,25.3284,31.543121,10.97289,19.245167,0.701332,8.739892,16.802097,3.015852,29.345463
FBtr0082346,1687.181641,1330.048706,2380.41748,1077.494385,3102.966309,1000.423157,1389.645752,1906.186157,2713.147461,758.107483
FBtr0302586,0,0,0,13.689082,0,0,3.719256,6.755606,0,6.022799
FBtr0336783,12.44659,1124.68689,12.303703,919.284119,76.260284,855.354614,1184.634521,11.024623,10.813626,204.544159
FBtr0114331,0,0,0,0,0,0,0,0,0,0.204191
FBtr0303864,0,0,0,0,0,0,0,0,0,0
FBtr0114332,0.689008,0,0.061273,0,2.957311,0.631802,0,1.132352,0.552128,1.360266
FBtr0091755,0,0,0,0,0,0,0,0,0,0.591693
FBtr0114333,0,0,0,0,0,0,0,0,1.433753,0
FBtr0082351,6.236591,5.510379,5.992593,7.35126,10.211905,7.398533,4.93999,5.532063,5.002519,7.127954
FBtr0346098,5.117492,4.521591,4.917276,6.032144,8.379471,3.645399,4.053554,4.539384,4.104862,5.848907
FBtr0082352,7.489813,12.793158,5.341851,0,2.147882,13.260918,12.295489,4.151689,2.863701,1.608753
FBtr0082366,36.334347,53.764065,40.780056,47.218525,53.55479,38.427601,50.876694,42.223217,49.654995,65.50808
FBtr0082365,5.544805,10.91848,2.683453,1.031633,0.918532,8.446049,11.337824,3.840852,1.94622,0.824527
FBtr0082353,4.040678,3.370439,6.933135,0,6.410117,0,5.050279,0,4.793229,6.589479
FBtr0082364,39.082893,45.485664,32.244087,6.859247,0,36.735153,41.074039,35.289398,18.026958,0
FBtr0082354,4.971641,2.442735,0,0,0,5.9108,3.270248,2.084922,1.099023,0
FBtr0304707,6.981805,3.430397,0,0,0,8.300691,4.592495,2.927911,1.543387,0
FBtr0304708,0,0,0,0,0,0,0,0,0,0
FBtr0082355,10.684529,0,10.579632,0,2.121539,5.63287,0,0,0,0
FBtr0339400,0,0,0,0,0,1.206669,0,0,0,0
FBtr0082356,0,4.490838,0,0,1.786461,0,0,1.993913,0,0
FBtr0304709,0,0,0,12.474893,11.367207,0,12.622618,8.580589,0,0
FBtr0082362,6.198006,6.953938,6.241459,6.674358,10.625711,5.949355,6.816684,5.260767,4.723577,7.753476
FBtr0082357,0,0,0,0,0,0,0,0,0,0
FBtr0082360,103.004936,62.444859,38.981079,16.72154,2.688341,132.516327,71.448746,61.646358,18.833366,1.659337
FBtr0082361,0.642201,0.684163,0.231539,0.197406,0.283476,1.096581,1.020529,0.305728,0.261877,1.247909
FBtr0308073,0,0,0,0,0,0,0,0,0,0
FBtr0082358,87.054398,146.287155,113.088089,115.537964,114.53096,92.655075,134.676743,95.416107,117.894867,110.676285
FBtr0306729,0,0,0,0,0,0,0,0,0,0
FBtr0345159,0,0,0,0,0,0,0,0,0,0
FBtr0306728,0,0,0,0,0,0,0,0,0,0
FBtr0308921,0,0,0,0,0,0,0,0,0,0
FBtr0344396,0,0,0,0,0,0,0,0,0,0
FBtr0304604,0,0,0,0,0,0,0,0,0,0
FBtr0304608,0,0,0,0,0,0,0,0,0,0
