SAMPID	Gene	h1	h2	SMTSD	is_eGene
GTEX-OIZI-0008	ENSG00000108592.16	21	47	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000108654.13	39	46	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000108679.12	242	303	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000108828.15	98	90	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000108953.16	275	281	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000109099.13	47	36	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000109323.8	83	79	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000109971.13	283	197	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000111348.8	151	140	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000111678.10	34	26	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000111802.13	25	26	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000111843.13	177	198	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000111875.7	42	30	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000111897.6	102	108	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000112096.16	26	30	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000112378.11	170	148	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000113068.9	141	76	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000113083.13	22	32	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000113140.10	167	153	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000113272.13	38	31	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000113583.7	63	67	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000113643.8	65	67	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000113721.13	69	53	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000114331.13	31	21	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000114354.13	27	42	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000114480.12	577	604	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000114978.17	32	37	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000115129.13	84	53	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000115233.11	81	62	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000115380.19	86	96	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000115561.15	23	28	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000116747.12	28	26	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000116774.11	477	449	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000117362.12	39	32	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000117519.15	113	81	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000118960.12	29	28	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000119640.8	47	40	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000120333.4	169	100	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000120438.11	136	126	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000120675.5	24	39	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000122033.14	151	132	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000122176.10	31	61	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000122484.8	26	27	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000123297.17	54	31	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000123545.5	67	76	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000124193.14	65	49	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000124570.17	41	44	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000124784.8	33	36	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000124786.9	36	46	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000125166.12	24	31	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000125445.10	80	105	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000125730.16	51	77	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000126790.11	40	31	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000127540.11	1427	1167	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000127914.16	39	29	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000127990.15	49	47	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000128228.4	111	78	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000128340.14	68	87	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000128534.7	141	193	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000128609.14	84	49	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000128789.20	156	193	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000128791.11	82	69	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000129187.14	35	44	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000129562.10	732	654	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000129625.12	44	29	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000130005.12	18	40	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000130312.6	185	160	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000130414.11	49	33	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000130489.14	40	47	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000130513.6	44	31	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000130770.17	232	257	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000131100.12	117	138	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000131459.12	55	33	Cells - Cultured fibroblasts	TRUE
