GeneID	Tissue	Expr
ENSG00000162438.11	Pancreas	2678.0
ENSG00000162438.11	Pancreas	2364.0
ENSG00000162438.11	Pancreas	5150.0
ENSG00000162438.11	Pancreas	2636.0
ENSG00000162438.11	Pancreas	2469.0
ENSG00000162438.11	Pancreas	2755.0
ENSG00000162438.11	Pancreas	2418.0
ENSG00000162438.11	Pancreas	1637.0
ENSG00000162438.11	Pancreas	4080.0
ENSG00000162438.11	Pancreas	7350.0
ENSG00000162438.11	Pancreas	8318.0
ENSG00000162438.11	Pancreas	2791.0
ENSG00000162438.11	Pancreas	1682.0
ENSG00000162438.11	Pancreas	1327.0
ENSG00000162438.11	Pancreas	3371.0
ENSG00000162438.11	Pancreas	1888.0
ENSG00000162438.11	Pancreas	4265.0
ENSG00000162438.11	Pancreas	747.1
ENSG00000162438.11	Pancreas	2295.0
ENSG00000162438.11	Pancreas	7042.0
ENSG00000162438.11	Pancreas	5979.0
ENSG00000162438.11	Pancreas	2894.0
ENSG00000162438.11	Pancreas	3321.0
ENSG00000162438.11	Pancreas	1926.0
ENSG00000162438.11	Pancreas	4541.0
ENSG00000162438.11	Pancreas	5906.0
ENSG00000162438.11	Pancreas	2086.0
ENSG00000162438.11	Pancreas	3833.0
ENSG00000162438.11	Pancreas	3300.0
ENSG00000162438.11	Pancreas	5726.0
ENSG00000162438.11	Pancreas	3337.0
ENSG00000162438.11	Pancreas	3335.0
ENSG00000162438.11	Pancreas	2246.0
ENSG00000162438.11	Pancreas	4164.0
ENSG00000162438.11	Pancreas	3261.0
ENSG00000162438.11	Pancreas	3599.0
ENSG00000162438.11	Pancreas	7934.0
ENSG00000162438.11	Pancreas	2249.0
ENSG00000162438.11	Pancreas	2364.0
ENSG00000162438.11	Pancreas	719.4
ENSG00000162438.11	Pancreas	2639.0
ENSG00000162438.11	Pancreas	4943.0
ENSG00000162438.11	Pancreas	4296.0
ENSG00000162438.11	Pancreas	2648.0
ENSG00000162438.11	Pancreas	3916.0
ENSG00000162438.11	Pancreas	2047.0
ENSG00000162438.11	Pancreas	4171.0
ENSG00000162438.11	Pancreas	1942.0
ENSG00000162438.11	Pancreas	3296.0
ENSG00000162438.11	Pancreas	1839.0
ENSG00000162438.11	Pancreas	2509.0
ENSG00000162438.11	Pancreas	5349.0
ENSG00000162438.11	Pancreas	2217.0
ENSG00000162438.11	Pancreas	2438.0
ENSG00000162438.11	Pancreas	2327.0
ENSG00000162438.11	Pancreas	4550.0
ENSG00000162438.11	Pancreas	3087.0
ENSG00000162438.11	Pancreas	6240.0
ENSG00000162438.11	Pancreas	1282.0
ENSG00000162438.11	Pancreas	902.7
ENSG00000162438.11	Pancreas	1546.0
ENSG00000162438.11	Pancreas	4692.0
ENSG00000162438.11	Pancreas	2402.0
ENSG00000162438.11	Pancreas	3919.0
ENSG00000162438.11	Pancreas	5568.0
ENSG00000162438.11	Pancreas	2063.0
ENSG00000162438.11	Pancreas	5199.0
ENSG00000162438.11	Pancreas	5903.0
ENSG00000162438.11	Pancreas	2158.0
ENSG00000162438.11	Pancreas	2137.0
ENSG00000162438.11	Pancreas	4350.0
ENSG00000162438.11	Pancreas	2638.0
ENSG00000162438.11	Pancreas	7270.0
ENSG00000162438.11	Pancreas	9959.0
ENSG00000162438.11	Pancreas	1593.0
ENSG00000162438.11	Pancreas	2400.0
ENSG00000162438.11	Pancreas	4099.0
ENSG00000162438.11	Pancreas	3766.0
ENSG00000162438.11	Pancreas	1997.0
ENSG00000162438.11	Pancreas	1867.0
ENSG00000162438.11	Pancreas	2063.0
ENSG00000162438.11	Pancreas	8115.0
ENSG00000162438.11	Pancreas	3930.0
ENSG00000162438.11	Pancreas	4587.0
ENSG00000162438.11	Pancreas	2724.0
ENSG00000162438.11	Pancreas	5388.0
ENSG00000162438.11	Pancreas	5988.0
ENSG00000162438.11	Pancreas	3690.0
ENSG00000162438.11	Pancreas	7043.0
ENSG00000162438.11	Pancreas	2869.0
ENSG00000162438.11	Pancreas	4034.0
ENSG00000162438.11	Pancreas	4224.0
ENSG00000162438.11	Pancreas	2003.0
ENSG00000162438.11	Pancreas	3753.0
ENSG00000162438.11	Pancreas	3590.0
ENSG00000162438.11	Pancreas	2796.0
ENSG00000162438.11	Pancreas	2363.0
ENSG00000162438.11	Pancreas	3304.0
ENSG00000162438.11	Pancreas	2585.0
ENSG00000162438.11	Pancreas	5509.0
ENSG00000162438.11	Pancreas	4300.0
ENSG00000162438.11	Pancreas	2654.0
ENSG00000162438.11	Pancreas	4514.0
ENSG00000162438.11	Pancreas	3596.0
ENSG00000162438.11	Pancreas	3470.0
ENSG00000162438.11	Pancreas	1962.0
ENSG00000162438.11	Pancreas	1729.0
ENSG00000162438.11	Pancreas	1692.0
ENSG00000162438.11	Pancreas	4585.0
ENSG00000162438.11	Pancreas	3044.0
ENSG00000162438.11	Pancreas	2425.0
ENSG00000162438.11	Pancreas	5132.0
ENSG00000162438.11	Pancreas	3625.0
ENSG00000162438.11	Pancreas	5578.0
ENSG00000162438.11	Pancreas	2319.0
ENSG00000162438.11	Pancreas	790.6
ENSG00000162438.11	Pancreas	3261.0
ENSG00000162438.11	Pancreas	652.5
ENSG00000162438.11	Pancreas	2979.0
ENSG00000162438.11	Pancreas	3158.0
ENSG00000162438.11	Pancreas	1966.0
ENSG00000162438.11	Pancreas	2459.0
ENSG00000162438.11	Pancreas	599.0
ENSG00000162438.11	Pancreas	3810.0
ENSG00000162438.11	Pancreas	4517.0
ENSG00000162438.11	Pancreas	3631.0
ENSG00000162438.11	Pancreas	908.9
ENSG00000162438.11	Pancreas	4585.0
ENSG00000162438.11	Pancreas	4905.0
ENSG00000162438.11	Pancreas	2687.0
ENSG00000162438.11	Pancreas	3870.0
ENSG00000162438.11	Pancreas	4573.0
ENSG00000162438.11	Pancreas	2652.0
ENSG00000162438.11	Pancreas	2552.0
ENSG00000162438.11	Pancreas	4945.0
ENSG00000162438.11	Pancreas	5409.0
ENSG00000162438.11	Pancreas	4186.0
ENSG00000162438.11	Pancreas	4107.0
ENSG00000162438.11	Pancreas	7819.0
ENSG00000162438.11	Pancreas	3765.0
ENSG00000162438.11	Pancreas	1817.0
ENSG00000162438.11	Pancreas	3615.0
ENSG00000162438.11	Pancreas	3113.0
ENSG00000162438.11	Pancreas	3402.0
ENSG00000162438.11	Pancreas	2355.0
ENSG00000162438.11	Pancreas	6130.0
ENSG00000162438.11	Pancreas	3612.0
ENSG00000162438.11	Pancreas	3642.0
ENSG00000162438.11	Pancreas	3244.0
ENSG00000162438.11	Pancreas	2260.0
ENSG00000162438.11	Pancreas	3225.0
ENSG00000162438.11	Pancreas	5182.0
ENSG00000162438.11	Pancreas	4687.0
ENSG00000162438.11	Pancreas	3458.0
ENSG00000162438.11	Pancreas	3859.0
ENSG00000162438.11	Pancreas	2903.0
ENSG00000162438.11	Pancreas	4327.0
ENSG00000162438.11	Pancreas	4025.0
ENSG00000162438.11	Pancreas	7928.0
ENSG00000162438.11	Pancreas	4072.0
ENSG00000162438.11	Pancreas	3673.0
ENSG00000162438.11	Pancreas	4025.0
ENSG00000162438.11	Pancreas	5174.0
ENSG00000162438.11	Pancreas	4152.0
ENSG00000162438.11	Pancreas	4399.0
ENSG00000162438.11	Pancreas	5252.0
ENSG00000162438.11	Pancreas	4994.0
ENSG00000162438.11	Pancreas	4014.0
ENSG00000162438.11	Pancreas	2982.0
ENSG00000162438.11	Pancreas	3018.0
ENSG00000162438.11	Pancreas	2343.0
ENSG00000162438.11	Pancreas	4036.0
ENSG00000162438.11	Pancreas	3466.0
ENSG00000162438.11	Pancreas	3343.0
ENSG00000162438.11	Pancreas	4321.0
ENSG00000162438.11	Pancreas	3008.0
ENSG00000162438.11	Pancreas	3690.0
ENSG00000162438.11	Pancreas	2941.0
ENSG00000162438.11	Pancreas	2141.0
ENSG00000162438.11	Pancreas	2070.0
ENSG00000162438.11	Pancreas	3098.0
ENSG00000162438.11	Pancreas	4400.0
ENSG00000162438.11	Pancreas	3037.0
ENSG00000142615.7	Pancreas	5331.0
ENSG00000142615.7	Pancreas	10970.0
ENSG00000142615.7	Pancreas	5647.0
ENSG00000142615.7	Pancreas	1436.0
ENSG00000142615.7	Pancreas	2894.0
ENSG00000142615.7	Pancreas	5970.0
ENSG00000142615.7	Pancreas	3971.0
ENSG00000142615.7	Pancreas	18190.0
ENSG00000142615.7	Pancreas	8531.0
ENSG00000142615.7	Pancreas	4114.0
ENSG00000142615.7	Pancreas	9348.0
ENSG00000142615.7	Pancreas	12630.0
ENSG00000142615.7	Pancreas	3453.0
ENSG00000142615.7	Pancreas	3464.0
ENSG00000142615.7	Pancreas	2464.0
ENSG00000142615.7	Pancreas	6505.0
ENSG00000142615.7	Pancreas	6484.0
ENSG00000142615.7	Pancreas	7266.0
ENSG00000142615.7	Pancreas	12480.0
ENSG00000142615.7	Pancreas	15660.0
ENSG00000142615.7	Pancreas	4203.0
ENSG00000142615.7	Pancreas	5186.0
ENSG00000142615.7	Pancreas	8067.0
ENSG00000142615.7	Pancreas	3066.0
ENSG00000142615.7	Pancreas	3552.0
ENSG00000142615.7	Pancreas	7832.0
ENSG00000142615.7	Pancreas	11340.0
ENSG00000142615.7	Pancreas	3503.0
ENSG00000142615.7	Pancreas	1086.0
ENSG00000142615.7	Pancreas	4352.0
ENSG00000142615.7	Pancreas	3408.0
ENSG00000142615.7	Pancreas	7117.0
ENSG00000142615.7	Pancreas	1180.0
ENSG00000142615.7	Pancreas	1130.0
ENSG00000142615.7	Pancreas	5364.0
ENSG00000142615.7	Pancreas	4525.0
ENSG00000142615.7	Pancreas	17400.0
ENSG00000142615.7	Pancreas	6623.0
ENSG00000142615.7	Pancreas	4315.0
ENSG00000142615.7	Pancreas	129.9
ENSG00000142615.7	Pancreas	10560.0
ENSG00000142615.7	Pancreas	5428.0
ENSG00000142615.7	Pancreas	5603.0
ENSG00000142615.7	Pancreas	891.6
ENSG00000142615.7	Pancreas	10020.0
ENSG00000142615.7	Pancreas	15860.0
ENSG00000142615.7	Pancreas	3935.0
ENSG00000142615.7	Pancreas	1635.0
ENSG00000142615.7	Pancreas	4218.0
ENSG00000142615.7	Pancreas	2792.0
ENSG00000142615.7	Pancreas	2574.0
ENSG00000142615.7	Pancreas	102.5
ENSG00000142615.7	Pancreas	3374.0
ENSG00000142615.7	Pancreas	1048.0
ENSG00000142615.7	Pancreas	6232.0
ENSG00000142615.7	Pancreas	4484.0
ENSG00000142615.7	Pancreas	6664.0
ENSG00000142615.7	Pancreas	15980.0
ENSG00000142615.7	Pancreas	8339.0
ENSG00000142615.7	Pancreas	6674.0
ENSG00000142615.7	Pancreas	191.7
ENSG00000142615.7	Pancreas	7782.0
ENSG00000142615.7	Pancreas	1735.0
ENSG00000142615.7	Pancreas	7836.0
ENSG00000142615.7	Pancreas	6122.0
ENSG00000142615.7	Pancreas	2372.0
ENSG00000142615.7	Pancreas	1520.0
ENSG00000142615.7	Pancreas	5547.0
ENSG00000142615.7	Pancreas	1349.0
ENSG00000142615.7	Pancreas	4433.0
ENSG00000142615.7	Pancreas	2752.0
ENSG00000142615.7	Pancreas	7392.0
ENSG00000142615.7	Pancreas	4346.0
ENSG00000142615.7	Pancreas	3753.0
ENSG00000142615.7	Pancreas	15780.0
ENSG00000142615.7	Pancreas	9224.0
ENSG00000142615.7	Pancreas	3924.0
ENSG00000142615.7	Pancreas	8679.0
ENSG00000142615.7	Pancreas	8949.0
ENSG00000142615.7	Pancreas	8572.0
ENSG00000142615.7	Pancreas	6870.0
ENSG00000142615.7	Pancreas	1782.0
ENSG00000142615.7	Pancreas	7137.0
ENSG00000142615.7	Pancreas	13780.0
ENSG00000142615.7	Pancreas	10860.0
ENSG00000142615.7	Pancreas	1406.0
ENSG00000142615.7	Pancreas	2848.0
ENSG00000142615.7	Pancreas	4059.0
ENSG00000142615.7	Pancreas	8309.0
ENSG00000142615.7	Pancreas	2815.0
ENSG00000142615.7	Pancreas	2518.0
ENSG00000142615.7	Pancreas	7605.0
ENSG00000142615.7	Pancreas	643.2
ENSG00000142615.7	Pancreas	2376.0
ENSG00000142615.7	Pancreas	7449.0
ENSG00000142615.7	Pancreas	3996.0
ENSG00000142615.7	Pancreas	17160.0
ENSG00000142615.7	Pancreas	5290.0
ENSG00000142615.7	Pancreas	2963.0
ENSG00000142615.7	Pancreas	6691.0
ENSG00000142615.7	Pancreas	6799.0
ENSG00000142615.7	Pancreas	7690.0
ENSG00000142615.7	Pancreas	6451.0
ENSG00000142615.7	Pancreas	10290.0
ENSG00000142615.7	Pancreas	2422.0
ENSG00000142615.7	Pancreas	542.6
ENSG00000142615.7	Pancreas	10190.0
ENSG00000142615.7	Pancreas	16940.0
ENSG00000142615.7	Pancreas	1054.0
ENSG00000142615.7	Pancreas	116.4
ENSG00000142615.7	Pancreas	8010.0
ENSG00000142615.7	Pancreas	5535.0
ENSG00000142615.7	Pancreas	1103.0
ENSG00000142615.7	Pancreas	6435.0
ENSG00000142615.7	Pancreas	3894.0
ENSG00000142615.7	Pancreas	7269.0
ENSG00000142615.7	Pancreas	1773.0
ENSG00000142615.7	Pancreas	4618.0
ENSG00000142615.7	Pancreas	4859.0
ENSG00000142615.7	Pancreas	1207.0
ENSG00000142615.7	Pancreas	13060.0
ENSG00000142615.7	Pancreas	5060.0
ENSG00000142615.7	Pancreas	12350.0
ENSG00000142615.7	Pancreas	9443.0
ENSG00000142615.7	Pancreas	4573.0
ENSG00000142615.7	Pancreas	1040.0
ENSG00000142615.7	Pancreas	8768.0
ENSG00000142615.7	Pancreas	5880.0
ENSG00000142615.7	Pancreas	1647.0
ENSG00000142615.7	Pancreas	1775.0
ENSG00000142615.7	Pancreas	3697.0
ENSG00000142615.7	Pancreas	7163.0
ENSG00000142615.7	Pancreas	3059.0
ENSG00000142615.7	Pancreas	14380.0
ENSG00000142615.7	Pancreas	11020.0
ENSG00000142615.7	Pancreas	8857.0
ENSG00000142615.7	Pancreas	10700.0
ENSG00000142615.7	Pancreas	1788.0
ENSG00000142615.7	Pancreas	5854.0
ENSG00000142615.7	Pancreas	10470.0
ENSG00000142615.7	Pancreas	1171.0
ENSG00000142615.7	Pancreas	10230.0
ENSG00000142615.7	Pancreas	5754.0
ENSG00000142615.7	Pancreas	6506.0
ENSG00000142615.7	Pancreas	2222.0
ENSG00000142615.7	Pancreas	4038.0
ENSG00000142615.7	Pancreas	1288.0
ENSG00000142615.7	Pancreas	11230.0
ENSG00000142615.7	Pancreas	3072.0
ENSG00000142615.7	Pancreas	6731.0
ENSG00000142615.7	Pancreas	6391.0
ENSG00000142615.7	Pancreas	1714.0
ENSG00000142615.7	Pancreas	2268.0
ENSG00000142615.7	Pancreas	7522.0
ENSG00000142615.7	Pancreas	10120.0
ENSG00000142615.7	Pancreas	11370.0
ENSG00000142615.7	Pancreas	11670.0
ENSG00000142615.7	Pancreas	923.7
ENSG00000142615.7	Pancreas	261.8
ENSG00000142615.7	Pancreas	1326.0
ENSG00000142615.7	Pancreas	1092.0
ENSG00000142615.7	Pancreas	1281.0
ENSG00000142615.7	Pancreas	606.2
ENSG00000142615.7	Pancreas	4519.0
ENSG00000142615.7	Pancreas	2326.0
ENSG00000142615.7	Pancreas	4060.0
ENSG00000142615.7	Pancreas	4637.0
ENSG00000142615.7	Pancreas	5297.0
ENSG00000142615.7	Pancreas	6310.0
ENSG00000142615.7	Pancreas	5153.0
ENSG00000142615.7	Pancreas	2089.0
ENSG00000142615.7	Pancreas	1106.0
ENSG00000142615.7	Pancreas	3814.0
ENSG00000142615.7	Pancreas	4089.0
ENSG00000142615.7	Pancreas	5956.0
ENSG00000142615.7	Pancreas	1296.0
ENSG00000142615.7	Pancreas	1873.0
ENSG00000142615.7	Pancreas	3178.0
ENSG00000142615.7	Pancreas	4668.0
ENSG00000142615.7	Pancreas	8490.0
ENSG00000142615.7	Pancreas	5622.0
ENSG00000142615.7	Pancreas	17510.0
ENSG00000142615.7	Pancreas	3383.0
ENSG00000142615.7	Pancreas	203.9
ENSG00000142615.7	Pancreas	1787.0
ENSG00000142615.7	Pancreas	1750.0
ENSG00000142615.7	Pancreas	11860.0
ENSG00000142615.7	Pancreas	8918.0
ENSG00000142615.7	Pancreas	2671.0
ENSG00000142615.7	Pancreas	5615.0
ENSG00000142615.7	Pancreas	458.6
ENSG00000142615.7	Pancreas	7646.0
ENSG00000142615.7	Pancreas	54.71
ENSG00000142615.7	Pancreas	8409.0
ENSG00000142615.7	Pancreas	6328.0
ENSG00000142615.7	Pancreas	4146.0
ENSG00000142615.7	Pancreas	7265.0
ENSG00000142615.7	Pancreas	1016.0
ENSG00000142615.7	Pancreas	7178.0
ENSG00000142615.7	Pancreas	2817.0
ENSG00000142615.7	Pancreas	5040.0
ENSG00000142615.7	Pancreas	1610.0
ENSG00000142615.7	Pancreas	7902.0
ENSG00000142615.7	Pancreas	798.3
ENSG00000142615.7	Pancreas	2091.0
ENSG00000142615.7	Pancreas	5279.0
ENSG00000142615.7	Pancreas	8047.0
ENSG00000142615.7	Pancreas	2357.0
ENSG00000142615.7	Pancreas	3922.0
ENSG00000142615.7	Pancreas	11520.0
ENSG00000142615.7	Pancreas	5138.0
ENSG00000142615.7	Pancreas	3476.0
ENSG00000142615.7	Pancreas	6398.0
ENSG00000142615.7	Pancreas	9633.0
ENSG00000142615.7	Pancreas	1025.0
ENSG00000142615.7	Pancreas	6158.0
ENSG00000142615.7	Pancreas	6109.0
ENSG00000142615.7	Pancreas	1877.0
ENSG00000142615.7	Pancreas	4556.0
ENSG00000142615.7	Pancreas	2375.0
ENSG00000142615.7	Pancreas	5380.0
ENSG00000142615.7	Pancreas	22590.0
